1,4220,3360,4280,3320
2,4280,3360,4340,3320
3,4340,3360,4400,3320
4,4400,3360,4460,3320
5,4220,3320,4280,3280
6,4280,3320,4340,3280
7,4340,3320,4400,3280
8,4400,3320,4460,3280
9,4220,3280,4280,3240
10,4280,3280,4340,3240
11,4340,3280,4400,3240
12,5240,3280,5300,3240
13,5300,3280,5360,3240
14,5360,3280,5420,3240
15,3980,3240,4040,3200
16,4040,3240,4100,3200
17,4100,3240,4160,3200
18,4160,3240,4220,3200
19,4220,3240,4280,3200
20,4280,3240,4340,3200
21,4340,3240,4400,3200
22,4880,3240,4940,3200
23,4940,3240,5000,3200
24,5000,3240,5060,3200
25,5060,3240,5120,3200
26,5120,3240,5180,3200
27,5180,3240,5240,3200
28,5240,3240,5300,3200
29,5300,3240,5360,3200
30,5360,3240,5420,3200
31,3980,3200,4040,3160
32,4040,3200,4100,3160
33,4100,3200,4160,3160
34,4160,3200,4220,3160
35,4220,3200,4280,3160
36,4280,3200,4340,3160
37,4340,3200,4400,3160
38,4400,3200,4460,3160
39,4700,3200,4760,3160
40,4760,3200,4820,3160
41,4820,3200,4880,3160
42,4880,3200,4940,3160
43,4940,3200,5000,3160
44,5000,3200,5060,3160
45,5060,3200,5120,3160
46,5120,3200,5180,3160
47,5180,3200,5240,3160
48,5240,3200,5300,3160
49,5300,3200,5360,3160
50,3980,3160,4040,3120
51,4040,3160,4100,3120
52,4100,3160,4160,3120
53,4160,3160,4220,3120
54,4220,3160,4280,3120
55,4280,3160,4340,3120
56,4340,3160,4400,3120
57,4400,3160,4460,3120
58,4460,3160,4520,3120
59,4520,3160,4580,3120
60,4580,3160,4640,3120
61,4640,3160,4700,3120
62,4700,3160,4760,3120
63,4760,3160,4820,3120
64,4820,3160,4880,3120
65,4880,3160,4940,3120
66,4940,3160,5000,3120
67,5000,3160,5060,3120
68,5060,3160,5120,3120
69,5120,3160,5180,3120
70,5180,3160,5240,3120
71,5240,3160,5300,3120
72,5300,3160,5360,3120
73,3980,3120,4040,3080
74,4040,3120,4100,3080
75,4100,3120,4160,3080
76,4160,3120,4220,3080
77,4220,3120,4280,3080
78,4280,3120,4340,3080
79,4340,3120,4400,3080
80,4400,3120,4460,3080
85,4700,3120,4760,3080
86,4760,3120,4820,3080
87,4820,3120,4880,3080
88,4880,3120,4940,3080
89,4940,3120,5000,3080
90,5000,3120,5060,3080
91,5060,3120,5120,3080
92,5120,3120,5180,3080
93,5180,3120,5240,3080
94,5240,3120,5300,3080
95,5300,3120,5360,3080
81,4460,3120,4520,3080
82,4520,3120,4580,3080
83,4580,3120,4640,3080
84,4640,3120,4700,3080
96,3980,3080,4040,3040
97,4040,3080,4100,3040
98,4100,3080,4160,3040
99,4160,3080,4220,3040
100,4220,3080,4280,3040
101,4280,3080,4340,3040
102,4340,3080,4400,3040
103,4400,3080,4460,3040
108,4700,3080,4760,3040
109,4760,3080,4820,3040
110,4820,3080,4880,3040
111,4880,3080,4940,3040
112,4940,3080,5000,3040
113,5000,3080,5060,3040
114,5060,3080,5120,3040
115,5120,3080,5180,3040
116,5180,3080,5240,3040
104,4460,3080,4520,3040
105,4520,3080,4580,3040
106,4580,3080,4640,3040
107,4640,3080,4700,3040
117,3980,3040,4040,3000
118,4040,3040,4100,3000
119,4100,3040,4160,3000
120,4160,3040,4220,3000
121,4220,3040,4280,3000
122,4280,3040,4340,3000
123,4340,3040,4400,3000
124,4400,3040,4460,3000
129,4700,3040,4760,3000
130,4760,3040,4820,3000
131,4820,3040,4880,3000
132,4880,3040,4940,3000
133,4940,3040,5000,3000
134,5000,3040,5060,3000
135,5060,3040,5120,3000
136,5120,3040,5180,3000
137,5180,3040,5240,3000
138,5240,3040,5300,3000
125,4460,3040,4520,3000
126,4520,3040,4580,3000
127,4580,3040,4640,3000
128,4640,3040,4700,3000
139,3980,3000,4040,2960
140,4040,3000,4100,2960
141,4100,3000,4160,2960
142,4160,3000,4220,2960
143,4220,3000,4280,2960
144,4280,3000,4340,2960
145,4340,3000,4400,2960
146,4400,3000,4460,2960
151,4700,3000,4760,2960
152,4760,3000,4820,2960
153,4820,3000,4880,2960
154,4880,3000,4940,2960
155,4940,3000,5000,2960
156,5000,3000,5060,2960
157,5060,3000,5120,2960
158,5120,3000,5180,2960
159,5180,3000,5240,2960
160,5240,3000,5300,2960
147,4460,3000,4520,2960
148,4520,3000,4580,2960
149,4580,3000,4640,2960
150,4640,3000,4700,2960
161,3980,2960,4040,2920
162,4040,2960,4100,2920
163,4100,2960,4160,2920
164,4160,2960,4220,2920
165,4220,2960,4280,2920
166,4280,2960,4340,2920
167,4340,2960,4400,2920
168,4400,2960,4460,2920
173,4700,2960,4760,2920
174,4760,2960,4820,2920
175,4820,2960,4880,2920
176,4880,2960,4940,2920
177,4940,2960,5000,2920
178,5000,2960,5060,2920
179,5060,2960,5120,2920
180,5120,2960,5180,2920
181,5180,2960,5240,2920
169,4460,2960,4520,2920
170,4520,2960,4580,2920
171,4580,2960,4640,2920
172,4640,2960,4700,2920
182,3980,2920,4040,2880
183,4040,2920,4100,2880
184,4100,2920,4160,2880
185,4160,2920,4220,2880
186,4220,2920,4280,2880
187,4280,2920,4340,2880
188,4340,2920,4400,2880
189,4460,2920,4520,2880
194,4760,2920,4820,2880
195,4820,2920,4880,2880
196,4880,2920,4940,2880
197,4940,2920,5000,2880
198,5000,2920,5060,2880
199,5060,2920,5120,2880
200,5120,2920,5180,2880
201,5180,2920,5240,2880
190,4520,2920,4580,2880
191,4580,2920,4640,2880
192,4640,2920,4700,2880
